name,original_height,original_width,mean_iou,pixel_accuracy,matched_pixels,total_valid_pixels,iou_trees,iou_lush_bushes,iou_dry_grass,iou_dry_bushes,iou_ground_clutter,iou_flowers,iou_logs,iou_rocks,iou_landscape,iou_sky
0000139.png,540,960,0.3327867431386722,0.6442264660493827,333967,518400,0.5590277777777778,0.0,0.44470062632879387,0.5053739201256581,0.0,0.0,,0.027523758292989062,0.4738112799331268,0.9846433257897039
0000140.png,540,960,0.3388748079208577,0.6563252314814815,340239,518400,0.5542560103963613,0.0,0.4307027808370044,0.5290960762861637,0.0,0.0,,0.034641870870765895,0.5156865039681695,0.9854900289292549
0000141.png,540,960,0.353644920025896,0.6858719135802469,355556,518400,0.5872675250357654,0.0,0.43223831871046725,0.5756262686035339,0.0,0.0,,0.02818636463925866,0.5724876221062491,0.9869981811377897
0000142.png,540,960,0.36604685332354125,0.710775462962963,368466,518400,0.5888501742160279,0.0,0.44776325796860955,0.6423888202015661,0.0,0.0,,0.025555518316184602,0.6030331337447614,0.9868307754647216
0000143.png,540,960,0.3704592342807699,0.707644675925926,366843,518400,0.6014935505770537,0.0,0.45250341520660853,0.631699945498687,0.0,0.0,,0.029474227116895724,0.6323495625203424,0.9866124076073416
0000144.png,540,960,0.36664491984819414,0.7084818672839506,367277,518400,0.573519627411843,0.0,0.4538787527323014,0.5941675067085032,0.0,0.0,,0.025434954086112724,0.6664036961164626,0.9863997415785245
0000145.png,540,960,0.3699279924404692,0.719789737654321,373139,518400,0.5961021505376344,0.0,0.45530455865456815,0.5612672104967845,0.0,0.0,,0.0223820705644562,0.7081851813380422,0.9861107603727367
0000146.png,540,960,0.3721247146200058,0.7232831790123457,374950,518400,0.6232650363516193,0.0,0.4651518129992673,0.5095192236461961,0.0,0.0,,0.023975729314437404,0.7418822297988933,0.9853283994696386
0000147.png,540,960,0.3597942452259416,0.7121161265432099,369161,518400,0.6285905143620575,0.0,0.4389457852896942,0.3970697647799462,0.0,0.0,,0.021590252419067292,0.7674385571441922,0.9845133330385176
0000148.png,540,960,0.36346738965212194,0.6884972993827161,356917,518400,0.6019777503090235,0.0,0.4584452793168415,0.4476196019089745,0.0,0.0,,0.017850589242751704,0.7612426313073664,0.98407065478414
0000149.png,540,960,0.36472528748812727,0.6678414351851852,346209,518400,0.5810415447630193,0.0,0.47740375465974094,0.4760019792182088,0.0,0.0,,0.017922860441622168,0.7461871610637479,0.9839702872468065
0000150.png,540,960,0.3621887922490763,0.6449710648148148,334353,518400,0.6026229508196721,0.0,0.47652780366914127,0.4874852140998344,0.0,0.0,,0.016853886078988106,0.6926209294973127,0.9835883460767382
0000151.png,540,960,0.3470666234522436,0.6554128086419753,339766,518400,0.4263392857142857,0.0,0.48358407983740015,0.5121706818086927,0.0,0.0,,0.02013800020751911,0.6970117666977059,0.9843557968045883
0000152.png,540,960,0.3430349010345654,0.6740856481481482,349446,518400,0.36666666666666664,0.0,0.4777780293425104,0.5170515902044798,0.0,0.0,,0.023617199888070144,0.7166797634310765,0.9855208597782855
0000153.png,540,960,0.3523706008625296,0.723070987654321,374840,518400,0.3835125448028674,0.0,0.47676788977927737,0.5237137539773068,0.0,0.0,,0.03237486449940212,0.7698742640611299,0.9850920906427826
0000154.png,540,960,0.36350684660693616,0.7633333333333333,395712,518400,0.40350877192982454,0.0,0.48506794989601976,0.5531744975376015,0.0,0.0,,0.043244134293093026,0.8005036066150598,0.9860626591908273
0000155.png,540,960,0.41591214930053333,0.7752237654320988,401876,518400,0.48659003831417624,0.0,0.4812668106224192,0.5125014099334512,0.0,,,0.051832626639103076,0.8084164210466936,0.9866898878484229
